Date,Close/Last,Volume,Open,High,Low
09/23/2022,$30.93,841884,$31.10,$31.56,$30.345
09/22/2022,$31.50,637617,$32.16,$32.45,$31.21
09/21/2022,$32.48,689964,$34.01,$34.10,$32.42
09/20/2022,$33.84,772220,$34.05,$34.33,$32.91
09/19/2022,$34.30,781039,$34.31,$34.52,$33.22
09/16/2022,$34.59,1907908,$35.10,$35.10,$33.59
09/15/2022,$35.13,647810,$35.18,$35.68,$34.44
09/14/2022,$35.27,899961,$36.10,$36.10,$34.40
09/13/2022,$35.90,1285966,$38.21,$38.35,$35.61
09/12/2022,$39.60,733234,$38.57,$39.8899,$38.09
09/09/2022,$38.57,638818,$38.65,$39.00,$38.11
09/08/2022,$39.17,696349,$38.37,$39.6899,$38.19
09/07/2022,$39.17,837428,$37.42,$39.275,$37.42
09/06/2022,$37.22,631698,$39.38,$39.56,$37.06
09/02/2022,$39.42,802623,$41.52,$41.52,$39.00
09/01/2022,$41.29,644678,$39.15,$41.34,$38.50
08/31/2022,$39.71,967171,$38.91,$40.15,$38.37
08/30/2022,$38.24,559487,$39.87,$40.20,$37.42
08/29/2022,$39.22,425933,$39.08,$40.53,$38.90
08/26/2022,$40.06,611272,$42.62,$42.6799,$39.96
08/25/2022,$42.61,520005,$43.22,$43.6466,$41.94
08/24/2022,$42.75,962402,$41.35,$43.12,$40.98
08/23/2022,$41.22,1056507,$41.20,$41.89,$40.2102
08/22/2022,$41.11,905300,$41.88,$42.94,$40.77
08/19/2022,$42.61,562228,$43.33,$44.035,$42.14
08/18/2022,$44.01,691163,$45.61,$46.115,$43.02
08/17/2022,$45.88,464422,$46.83,$47.13,$45.71
08/16/2022,$47.63,468726,$48.00,$48.17,$46.75
08/15/2022,$48.31,518618,$47.02,$48.48,$46.50
08/12/2022,$47.29,604039,$46.16,$47.90,$46.06
08/11/2022,$45.63,571493,$46.96,$48.08,$45.17
08/10/2022,$46.96,575099,$46.46,$47.02,$45.7501
08/09/2022,$45.45,834781,$45.85,$46.84,$44.90
08/08/2022,$47.02,1075009,$46.52,$47.64,$45.275
08/05/2022,$45.96,1230544,$44.41,$46.40,$43.61
08/04/2022,$46.13,980174,$44.38,$46.54,$44.34
08/03/2022,$44.36,1154324,$44.00,$45.32,$43.46
08/02/2022,$42.02,475242,$41.34,$43.20,$41.34
08/01/2022,$41.77,620629,$41.68,$43.48,$41.3747
07/29/2022,$42.53,536202,$43.34,$43.34,$41.93
07/28/2022,$43.76,649560,$44.27,$44.46,$41.545
07/27/2022,$44.31,767663,$42.16,$44.60,$41.58
07/26/2022,$41.84,535232,$41.54,$42.80,$40.77
07/25/2022,$41.69,715343,$42.61,$42.80,$40.69
07/22/2022,$42.67,721791,$44.64,$44.93,$42.42
07/21/2022,$44.39,458784,$44.06,$44.88,$43.86
07/20/2022,$44.14,809534,$42.92,$45.13,$42.92
07/19/2022,$42.67,696573,$42.08,$43.38,$40.84
07/18/2022,$41.27,709153,$43.14,$43.96,$40.86
07/15/2022,$42.80,731152,$42.65,$42.87,$41.16
07/14/2022,$41.66,655407,$42.18,$42.61,$41.19
07/13/2022,$42.88,689565,$40.34,$43.6799,$39.57
07/12/2022,$41.50,608602,$40.52,$41.86,$38.87
07/11/2022,$40.30,741196,$41.19,$43.00,$39.62
07/08/2022,$41.73,599334,$41.43,$42.14,$40.90
07/07/2022,$42.17,1168161,$40.00,$43.45,$39.57
07/06/2022,$39.99,1008562,$39.22,$40.71,$38.88
07/05/2022,$39.16,936415,$35.90,$39.20,$35.51
07/01/2022,$35.96,731753,$35.40,$36.6499,$34.81
06/30/2022,$35.21,963245,$33.85,$35.78,$33.00
06/29/2022,$34.56,877562,$32.43,$34.795,$31.45
06/28/2022,$32.47,737086,$33.74,$34.3299,$32.095
06/27/2022,$33.72,782297,$34.65,$35.00,$32.89
06/24/2022,$34.46,1842857,$35.00,$35.11,$32.87
06/23/2022,$34.26,909714,$31.75,$34.30,$31.68
06/22/2022,$31.57,769348,$29.80,$32.34,$29.77
06/21/2022,$30.59,943906,$29.73,$31.27,$29.61
06/17/2022,$29.12,2432883,$28.37,$30.5116,$28.37
06/16/2022,$27.79,1084778,$27.92,$28.56,$27.02
06/15/2022,$29.19,1033772,$28.17,$29.48,$27.62
06/14/2022,$27.89,1039942,$28.40,$28.60,$26.81
06/13/2022,$28.28,876946,$29.27,$29.77,$27.83
06/10/2022,$30.52,803913,$31.79,$31.88,$29.69
06/09/2022,$32.49,657277,$33.50,$33.81,$32.44
06/08/2022,$34.00,621827,$34.63,$35.70,$33.80
06/07/2022,$34.89,765206,$32.39,$35.12,$32.39
06/06/2022,$32.96,624333,$35.73,$35.73,$32.605
06/03/2022,$34.86,655283,$33.97,$35.009,$33.45
06/02/2022,$33.76,520941,$33.17,$33.92,$32.44
06/01/2022,$33.05,791032,$33.85,$34.34,$31.85
05/31/2022,$33.36,761246,$34.14,$34.51,$32.69
05/27/2022,$34.20,753705,$33.57,$34.25,$32.50
05/26/2022,$33.33,768053,$33.38,$34.84,$33.32
05/25/2022,$33.97,529515,$33.52,$34.27,$32.78
05/24/2022,$33.80,782878,$35.29,$35.51,$33.48
05/23/2022,$36.05,577703,$36.45,$36.88,$35.49
05/20/2022,$36.21,735591,$36.01,$36.6399,$33.90
05/19/2022,$35.15,881058,$34.07,$35.7993,$33.80
05/18/2022,$34.20,1328134,$35.08,$36.14,$34.08
05/17/2022,$35.77,1236177,$33.97,$35.77,$33.5823
05/16/2022,$32.88,1137082,$31.52,$34.19,$31.00
05/13/2022,$31.64,1288206,$31.03,$33.21,$30.74
05/12/2022,$30.31,1480106,$28.45,$31.28,$27.87
05/11/2022,$28.95,1956604,$35.30,$35.50,$28.53
05/10/2022,$34.29,1418888,$34.72,$35.47,$33.36
05/09/2022,$32.72,1599661,$35.82,$36.52,$32.24
05/06/2022,$36.92,1088273,$39.39,$39.49,$36.48
05/05/2022,$40.24,696627,$42.59,$42.69,$39.14
05/04/2022,$43.01,808499,$42.99,$43.23,$40.11
05/03/2022,$42.65,578192,$42.91,$44.60,$41.99
05/02/2022,$43.05,706830,$41.09,$43.125,$40.76
04/29/2022,$41.11,548749,$42.07,$43.43,$40.83
04/28/2022,$42.31,547786,$42.23,$42.59,$39.66
04/27/2022,$41.61,839893,$40.98,$42.465,$40.395
04/26/2022,$40.91,838138,$43.18,$43.89,$40.875
04/25/2022,$43.91,448129,$42.31,$44.04,$42.08
04/22/2022,$42.66,578865,$42.74,$43.43,$42.01
04/21/2022,$42.74,609529,$46.49,$47.20,$42.50
04/20/2022,$45.76,531317,$46.00,$46.20,$44.37
04/19/2022,$45.49,501982,$44.44,$46.10,$43.93
04/18/2022,$44.33,758445,$46.67,$46.67,$43.95
